,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.14245381355285644,0.02527598584975272,1.517871904373169,0.4291109351223983,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",-0.047460041793983145,-0.04669632976612074,-0.04275228233646726,-0.0459554738503954,-0.04702652161446221,-0.04597812987228575,0.0016862742894269234,10,-0.03375777154203785,-0.033909878550649544,-0.03497105217386073,-0.03423460833843472,-0.0342979644305318,-0.03423425500710293,0.0004193293832777916
1,0.1373678684234619,0.02249466159794343,1.1576730251312255,0.08240750681003363,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",-0.04685485034137905,-0.046227363986764,-0.042206136195809485,-0.045456421296026,-0.046519967728895224,-0.045452947909774756,0.0016879206351477238,7,-1.131358563201009e-15,-1.1343613291902918e-15,-1.146026132877058e-15,-1.1261855481737808e-15,-1.1403943602415115e-15,-1.1356651867367304e-15,6.92567520210255e-18
2,0.14682559967041015,0.02413033373724766,1.555952501296997,0.5496321396585767,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",-0.047090114717527484,-0.04569042635296647,-0.04191015462739278,-0.04607841533637332,-0.047142962630525954,-0.0455824147329572,0.001921022976210627,8,-0.034512560752903786,-0.03489554850898029,-0.0358883216883067,-0.035254258270257174,-0.035327924539873976,-0.03517572275206439,0.00045943702492993543
3,0.12973785400390625,0.005661287892984869,1.24302978515625,0.21793426405897712,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",-0.046445088197041406,-0.045248802919964276,-0.04136675517442147,-0.045531510536877845,-0.04657484807924417,-0.04503340098150983,0.0019030356038963869,3,-1.4980492833502468e-15,-1.509847721943322e-15,-1.5265020863780878e-15,-1.5201047077243019e-15,-1.5165243228581654e-15,-1.5142056244508246e-15,9.709759973587137e-18
4,0.15016436576843262,0.024968710950962668,1.4666708946228026,0.4281180313778379,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",-0.0470361410629457,-0.04564746066855451,-0.041397270131526824,-0.04566837093676598,-0.0467697563619213,-0.04530379983234286,0.0020328317121564216,6,-0.0352112052095135,-0.035515139541236376,-0.03678989292237982,-0.036078431501478596,-0.03614001659117591,-0.03594693715315685,0.0005464239256200369
5,0.12874360084533693,0.0010988369849677393,1.2211885929107666,0.19252351347128585,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",-0.046395701115640946,-0.045144467647545775,-0.040844135674681696,-0.04509497493546972,-0.046176734305215794,-0.04473120273571078,0.002013580135620855,2,-1.9248062802301708e-15,-1.9563360470915303e-15,-1.9688051728574765e-15,-1.953775191701657e-15,-1.9267839630337743e-15,-1.946101330982922e-15,1.7353627165893215e-17
6,0.13747067451477052,0.020690914499724218,1.2827781677246093,0.3044442818058779,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",-0.046973962117834715,-0.045218384649342906,-0.041604735655602916,-0.04528202181288334,-0.04689557444417208,-0.045194935735967195,0.0019470376132270405,4,-0.035855263089607486,-0.03628722065592104,-0.03762492895550479,-0.036601408208418146,-0.03684574888309342,-0.03664291395850898,0.0005923056314156821
7,0.13475308418273926,0.010565446527245942,1.3351382255554198,0.3204306842228636,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",-0.04632292318000373,-0.044711468418885736,-0.04101054314252579,-0.04469558347379039,-0.046281680547263004,-0.04460443975249373,0.0019340205340567234,1,-2.40299779935492e-15,-2.4441564041168707e-15,-2.4618833413460956e-15,-2.414026926948318e-15,-2.4098403599628538e-15,-2.4265809663458116e-15,2.2579509587625147e-17
8,0.15067839622497559,0.025549145883587827,1.3368648052215577,0.36799801584614156,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",-0.04750991670964445,-0.04624592235840314,-0.04221056727404582,-0.04580245730371565,-0.047671592573579474,-0.0458880912438777,0.001973360264187752,9,-0.038778325351400654,-0.03986525168192672,-0.04072588023065444,-0.039831256130587675,-0.04027487082000735,-0.03989511684291537,0.0006459991088948056
9,0.14252238273620604,0.024445580727078885,1.3609214782714845,0.38184344349359767,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",-0.04680968161166151,-0.04563683652336355,-0.04153290215546661,-0.04519371195996151,-0.047032831725012214,-0.045241192795093074,0.0019789055096324265,5,-5.606602523095028e-15,-5.8132908592691954e-15,-5.749792276556702e-15,-5.6775702934024845e-15,-5.701477663227859e-15,-5.709746723110253e-15,6.937933476272641e-17
10,0.13722901344299315,0.02087451041298687,1.2289963245391846,0.1832577439985742,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",-0.048959556616023164,-0.04697416766527312,-0.04333393386707129,-0.04681384361145007,-0.048489858495747565,-0.04691427205111305,0.0019747484125412942,12,-0.04095435971634957,-0.04222373519791942,-0.04313361210876069,-0.04198657789998067,-0.04281371172234262,-0.04222239932907059,0.0007541216170752455
11,0.13392286300659179,0.009823572302518601,1.462173080444336,0.4150054178203751,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",-0.04823412630659969,-0.04639294049239098,-0.04263308914871416,-0.04616528399302965,-0.04781725767030596,-0.04624853952220809,0.001974978280034904,11,-1.0307594881288842e-14,-1.0841208258504446e-14,-1.0613963747867772e-14,-1.0329380827415015e-14,-1.0569583955907002e-14,-1.0532346334196616e-14,1.9756110118108642e-16
